"Message","Longitude","Latitude","Island"
"Power crews are working hard to restore electricity after the storm. Weather teams did a great job tracking this storm.",-27.0795,16.3248,"Paxora"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Running dangerously low on fuel. Trying to conserve what's left.",-27.2747,15.9156,"Paxora"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. No roof over our heads. Sleeping outside since the storm hit. We have a medical emergency and no way to get help.",-26.5934,15.6169,"Paxora"
"Power crews are working hard to restore electricity after the storm. We're in this together, let's support one another.",-26.9281,15.7522,"Paxora"
"#IoSTSHelp Out of fuel. We can't run the generator anymore.",-27.0237,15.8895,"Paxora"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. There's nothing left to eat. Everyone is hungry and exhausted.",-27.244,15.7319,"Paxora"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.6489,15.7405,"Paxora"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Someone here is badly injured. We need medical attention urgently.",-27.1264,16.2927,"Paxora"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. No roof over our heads. Sleeping outside since the storm hit. No food left. We're trying to ration what little we have.",-27.1193,15.8701,"Paxora"
"Floodwaters are starting to recede. Please stay cautious and avoid driving through water. Weather teams did a great job tracking this storm.",-26.8853,15.8824,"Paxora"
"Volunteers are showing up in huge numbers to help with recovery efforts. Shelters remain open to those in need.",-26.7788,15.7241,"Paxora"
"Storm coverage continues—stay tuned for updates and official instructions. Remember to check on neighbors, especially the elderly.",-26.6661,15.7809,"Paxora"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-26.9408,15.968,"Paxora"
"Storm coverage continues—stay tuned for updates and official instructions. Remember to check on neighbors, especially the elderly.",-26.7386,15.7222,"Paxora"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. Someone here is badly injured. We need medical attention urgently.",-26.9833,16.0924,"Paxora"
"Road closures are in effect due to debris and fallen trees from the storm. Hope everyone is staying safe and checking in on each other.",-26.7434,15.8599,"Paxora"
"Thankful for the first responders and emergency crews working around the clock. Weather teams did a great job tracking this storm.",-26.9124,14.6504,"Justitia"
"#IoSTSHelp No food left. We're trying to ration what little we have. No access to medicine or care. We're worried someone might not make it. Can't reach anyone because we’re out of fuel and power.",-27.0065,14.2717,"Justitia"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted.",-26.6234,14.6243,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. No fuel for cooking or heating. Conditions are worsening. There's nothing left to eat. Everyone is hungry and exhausted.",-27.0707,14.5298,"Justitia"
"Thankful for the first responders and emergency crews working around the clock. We're in this together, let's support one another.",-27.0174,14.3881,"Justitia"
"Volunteers are showing up in huge numbers to help with recovery efforts. It's going to take time, but recovery is underway.",-26.8875,14.4306,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore.",-26.619,14.5704,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care. Out of fuel. We can't run the generator anymore. Still no place to sleep. We’re making do with broken walls and tarps.",-26.8927,14.2879,"Justitia"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. Our shelter didn't survive the storm. We're exposed to the elements. Medical supplies are gone. Can't treat wounds or illnesses.",-26.7894,14.5512,"Justitia"
"The storm has passed, and cleanup efforts are beginning across the region. Shelters remain open to those in need.",-26.9406,14.5326,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go.",-27.0442,14.393,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive.",-27.0795,14.7817,"Justitia"
"#IoSTSHelp Can't reach anyone because we’re out of fuel and power. No roof over our heads. Sleeping outside since the storm hit.",-26.7224,14.5817,"Justitia"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently.",-27.1116,14.401,"Justitia"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses.",-26.7539,14.5227,"Justitia"
"#IoSTSHelp No food left. We're trying to ration what little we have. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.0992,14.5471,"Justitia"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. We have a medical emergency and no way to get help.",-27.0248,14.7408,"Justitia"
"Schools will remain closed tomorrow as cleanup continues. Weather teams did a great job tracking this storm.",-26.8931,14.3242,"Justitia"
"#IoSTSHelp Out of fuel. We can't run the generator anymore. No food left. We're trying to ration what little we have. We have a medical emergency and no way to get help.",-27.0466,14.4075,"Justitia"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Fuel is completely gone, and we're cut off from any resupply. Our shelter didn't survive the storm. We're exposed to the elements.",-26.8001,14.5344,"Justitia"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. No access to medicine or care. We're worried someone might not make it.",-26.9341,14.6217,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. Medical supplies are gone. Can't treat wounds or illnesses.",-23.3692,14.4428,"Calmorra"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. There's nothing left to eat. Everyone is hungry and exhausted.",-23.0773,14.3394,"Calmorra"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Running dangerously low on fuel. Trying to conserve what's left. Someone here is badly injured. We need medical attention urgently.",-22.9271,14.3433,"Calmorra"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Out of fuel. We can't run the generator anymore. We've gone two days without a proper meal. People are getting weak.",-22.9039,14.3467,"Calmorra"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. Medical supplies are gone. Can't treat wounds or illnesses. No roof over our heads. Sleeping outside since the storm hit.",-22.7872,14.4025,"Calmorra"
"#IoSTSHelp Out of fuel. We can't run the generator anymore.",NA,NA,"Calmorra"
"Volunteers are showing up in huge numbers to help with recovery efforts. Remember to check on neighbors, especially the elderly.",-22.9452,14.1946,"Calmorra"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go.",-23.5815,14.3582,"Calmorra"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. We're running out of food and have no idea when help will arrive. Still waiting for help—someone needs urgent medical care.",-26.8396,14.6333,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. Out of fuel. We can't run the generator anymore.",-26.6733,14.5835,"Justitia"
"The storm has passed, and cleanup efforts are beginning across the region. Hope everyone is staying safe and checking in on each other.",-26.6252,14.6259,"Justitia"
"#IoSTSHelp Still waiting for help—someone needs urgent medical care.",-26.6398,14.5454,"Justitia"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. There's nothing left to eat. Everyone is hungry and exhausted.",-22.9564,16.0175,"Ecliptria"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. There's nothing left to eat. Everyone is hungry and exhausted.",-22.8839,16.0197,"Ecliptria"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-22.7865,15.6631,"Ecliptria"
"Volunteers are showing up in huge numbers to help with recovery efforts. Stay off the roads unless absolutely necessary.",-22.6253,14.1373,"Calmorra"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted.",-22.8013,14.3458,"Calmorra"
"Power crews are working hard to restore electricity after the storm. Shelters remain open to those in need.",-22.5511,14.3686,"Calmorra"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go.",-22.5277,14.1877,"Calmorra"
"#IoSTSHelp We're running out of food and have no idea when help will arrive.",-22.7363,14.3481,"Calmorra"
"#IoSTSHelp Out of fuel. We can't run the generator anymore.",-22.6524,14.3687,"Calmorra"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. No fuel for cooking or heating. Conditions are worsening. We have a medical emergency and no way to get help.",-22.5126,14.2934,"Calmorra"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. No food left. We're trying to ration what little we have.",-22.476,14.2775,"Calmorra"
"Schools will remain closed tomorrow as cleanup continues. Hope everyone is staying safe and checking in on each other.",-22.4047,14.2306,"Calmorra"
"Power crews are working hard to restore electricity after the storm. Weather teams did a great job tracking this storm.",-22.7082,14.3484,"Calmorra"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Our shelter didn't survive the storm. We're exposed to the elements. No fuel for cooking or heating. Conditions are worsening.",-22.7764,14.1521,"Calmorra"
"Thankful for the first responders and emergency crews working around the clock. Shelters remain open to those in need.",-22.6909,14.4724,"Calmorra"
"Lots of damage in the area, but thankful everyone I know is safe. It's going to take time, but recovery is underway.",-22.1054,14.3395,"Calmorra"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps. Medical supplies are gone. Can't treat wounds or illnesses.",-22.5859,14.4702,"Calmorra"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements.",-26.8334,14.5681,"Justitia"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. We lost everything, including our shelter. Nowhere to go. Out of fuel. We can't run the generator anymore.",-27.3195,14.729,"Justitia"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe.",-26.7065,14.539,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit.",-27.1962,14.6373,"Justitia"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Still waiting for help—someone needs urgent medical care.",-26.754,15.3343,"Paxora"
"Schools will remain closed tomorrow as cleanup continues. It's going to take time, but recovery is underway.",-27.4592,14.7091,"Justitia"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. Out of fuel. We can't run the generator anymore. We've gone two days without a proper meal. People are getting weak.",NA,NA,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. We have a medical emergency and no way to get help. No fuel for cooking or heating. Conditions are worsening.",-26.9094,14.4926,"Justitia"
"Power crews are working hard to restore electricity after the storm. It's going to take time, but recovery is underway.",-27.2378,14.5618,"Justitia"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. We've gone two days without a proper meal. People are getting weak. Medical supplies are gone. Can't treat wounds or illnesses.",-27.3141,14.4119,"Justitia"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left.",-26.7934,14.5653,"Justitia"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left. We've gone two days without a proper meal. People are getting weak.",-27.2939,14.4709,"Justitia"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Someone here is badly injured. We need medical attention urgently.",-27.4402,14.7575,"Justitia"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. There's nothing left to eat. Everyone is hungry and exhausted.",-27.5795,14.7676,"Justitia"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. Medical supplies are gone. Can't treat wounds or illnesses. No roof over our heads. Sleeping outside since the storm hit.",-26.8567,15.3434,"Paxora"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. Still no place to sleep. We’re making do with broken walls and tarps.",-27.2719,15.2805,"Paxora"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses.",-27.0794,14.794,"Justitia"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. Someone here is badly injured. We need medical attention urgently.",-27.3241,15.0377,"Justitia"
"#IoSTSHelp Food supplies are completely gone. We need assistance urgently. Out of fuel. We can't run the generator anymore.",-27.5067,14.7539,"Justitia"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.1602,14.4804,"Justitia"
"#IoSTSHelp We have a medical emergency and no way to get help.",-27.0851,14.7791,"Justitia"
"#IoSTSHelp We're running out of food and have no idea when help will arrive. Out of fuel. We can't run the generator anymore. Shelter is damaged beyond use. We're trying to stay dry and safe.",-27.1947,14.6635,"Justitia"
"#IoSTSHelp Our shelter didn't survive the storm. We're exposed to the elements. Running dangerously low on fuel. Trying to conserve what's left.",-26.0226,17.6213,"Solvenya"
"#IoSTSHelp Medical supplies are gone. Can't treat wounds or illnesses. We lost everything, including our shelter. Nowhere to go.",-26.7424,17.48,"Solvenya"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-26.5794,17.589,"Solvenya"
"#IoSTSHelp We have a medical emergency and no way to get help.",-26.5931,17.7321,"Solvenya"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. Running dangerously low on fuel. Trying to conserve what's left. We lost everything, including our shelter. Nowhere to go.",-26.6235,17.6367,"Solvenya"
"#IoSTSHelp There's nothing left to eat. Everyone is hungry and exhausted. Fuel is completely gone, and we're cut off from any resupply. Shelter is damaged beyond use. We're trying to stay dry and safe.",-25.7822,17.8334,"Solvenya"
"#IoSTSHelp We have a medical emergency and no way to get help. There's nothing left to eat. Everyone is hungry and exhausted.",-26.2878,17.4273,"Solvenya"
"The storm has passed, and cleanup efforts are beginning across the region. It's going to take time, but recovery is underway.",-25.9542,17.934,"Solvenya"
"Lots of damage in the area, but thankful everyone I know is safe. Please follow official channels for updates.",-25.881,17.7042,"Solvenya"
"Road closures are in effect due to debris and fallen trees from the storm. Stay off the roads unless absolutely necessary.",-26.6537,17.7323,"Solvenya"
"#IoSTSHelp No fuel for cooking or heating. Conditions are worsening. Still no place to sleep. We’re making do with broken walls and tarps. We're running out of food and have no idea when help will arrive.",-26.1926,17.796,"Solvenya"
"#IoSTSHelp We have a medical emergency and no way to get help. Food supplies are completely gone. We need assistance urgently.",-26.0286,17.6891,"Solvenya"
"#IoSTSHelp We lost everything, including our shelter. Nowhere to go. Still waiting for help—someone needs urgent medical care.",-25.9878,17.9,"Solvenya"
"#IoSTSHelp Shelter is damaged beyond use. We're trying to stay dry and safe.",-25.9659,17.5523,"Solvenya"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-26.1034,17.6983,"Solvenya"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left.",-25.999,17.7638,"Solvenya"
"#IoSTSHelp Still no place to sleep. We’re making do with broken walls and tarps. We have a medical emergency and no way to get help. We've gone two days without a proper meal. People are getting weak.",-26.4791,17.6838,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-26.4614,17.7638,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply.",-26.2818,17.3664,"Solvenya"
"#IoSTSHelp Fuel is completely gone, and we're cut off from any resupply. We've gone two days without a proper meal. People are getting weak.",-25.9624,17.5678,"Solvenya"
"Storm coverage continues—stay tuned for updates and official instructions. Weather teams did a great job tracking this storm.",-26.3551,17.4904,"Solvenya"
"#IoSTSHelp No access to medicine or care. We're worried someone might not make it. There's nothing left to eat. Everyone is hungry and exhausted. We lost everything, including our shelter. Nowhere to go.",-22.923,15.8044,"Ecliptria"
"Power crews are working hard to restore electricity after the storm. Shelters remain open to those in need.",-23.1416,15.8343,"Ecliptria"
"#IoSTSHelp No roof over our heads. Sleeping outside since the storm hit. Fuel is completely gone, and we're cut off from any resupply.",-23.3084,15.9148,"Ecliptria"
"#IoSTSHelp Running dangerously low on fuel. Trying to conserve what's left.",-23.5298,15.844,"Ecliptria"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently.",-22.8182,15.9083,"Ecliptria"
"#IoSTSHelp We've gone two days without a proper meal. People are getting weak. No fuel for cooking or heating. Conditions are worsening.",-22.8959,16.0528,"Ecliptria"
"#IoSTSHelp Someone here is badly injured. We need medical attention urgently. No food left. We're trying to ration what little we have.",NA,NA,"Ecliptria"
"Volunteers are showing up in huge numbers to help with recovery efforts. Stay off the roads unless absolutely necessary.",-23.044,15.6383,"Ecliptria"
